Period,Number of requests
январь 2018,141
февраль 2018,147
март 2018,229
апрель 2018,468
май 2018,458
июнь 2018,342
июль 2018,329
август 2018,428
сентябрь 2018,249
октябрь 2018,237
ноябрь 2018,120
декабрь 2018,151
январь 2019,205
февраль 2019,195
март 2019,506
апрель 2019,1024
май 2019,1094
июнь 2019,1144
июль 2019,1052
август 2019,576
сентябрь 2019,412
октябрь 2019,249
ноябрь 2019,311
декабрь 2019,271
январь 2020,268
февраль 2020,444
март 2020,576
апрель 2020,695
май 2020,1367
июнь 2020,1989
июль 2020,1439
август 2020,888
сентябрь 2020,741
октябрь 2020,438
ноябрь 2020,305
декабрь 2020,388
январь 2021,308
февраль 2021,546
март 2021,956
апрель 2021,2369
май 2021,2794
июнь 2021,3183
июль 2021,2510
август 2021,1604
сентябрь 2021,670
октябрь 2021,510
ноябрь 2021,694
декабрь 2021,447
январь 2022,377
февраль 2022,1569
март 2022,1978
апрель 2022,2020
май 2022,2890
июнь 2022,2860
июль 2022,1512
август 2022,1567
сентябрь 2022,625
октябрь 2022,411
ноябрь 2022,297
декабрь 2022,433
январь 2023,414
февраль 2023,633
март 2023,2873
апрель 2023,2301
май 2023,3283
июнь 2023,3583
июль 2023,2096
август 2023,1680
сентябрь 2023,1421
октябрь 2023,1648
ноябрь 2023,1300
декабрь 2023,714
январь 2024,1644
февраль 2024,1842
март 2024,2430
апрель 2024,3185
май 2024,4165
июнь 2024,3370
июль 2024,3059
август 2024,1494
сентябрь 2024,1062
октябрь 2024,794
ноябрь 2024,959